threshold,TP,TN,FP,FN,sensitivity,specificity,Youden,accuracy
0.6446446446446447,24,21,0,58,0.2926829268292683,1.0,0.29268292682926833,0.4368932038834951
0.6456456456456456,24,21,0,58,0.2926829268292683,1.0,0.29268292682926833,0.4368932038834951
0.6466466466466466,23,21,0,59,0.2804878048780488,1.0,0.2804878048780488,0.42718446601941745
0.6476476476476476,23,21,0,59,0.2804878048780488,1.0,0.2804878048780488,0.42718446601941745
0.6486486486486487,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6496496496496497,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6506506506506506,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6516516516516516,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6526526526526526,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6536536536536537,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6546546546546547,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6556556556556556,22,21,0,60,0.2682926829268293,1.0,0.2682926829268293,0.4174757281553398
0.6566566566566566,21,21,0,61,0.25609756097560976,1.0,0.25609756097560976,0.4077669902912621
0.6576576576576576,21,21,0,61,0.25609756097560976,1.0,0.25609756097560976,0.4077669902912621
0.6586586586586587,21,21,0,61,0.25609756097560976,1.0,0.25609756097560976,0.4077669902912621
0.6596596596596597,21,21,0,61,0.25609756097560976,1.0,0.25609756097560976,0.4077669902912621
0.6606606606606606,21,21,0,61,0.25609756097560976,1.0,0.25609756097560976,0.4077669902912621
0.6616616616616616,21,21,0,61,0.25609756097560976,1.0,0.25609756097560976,0.4077669902912621
0.6626626626626626,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6636636636636637,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6646646646646647,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6656656656656657,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6666666666666666,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6676676676676676,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6686686686686687,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6696696696696697,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6706706706706707,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6716716716716716,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6726726726726726,20,21,0,62,0.24390243902439024,1.0,0.24390243902439024,0.39805825242718446
0.6736736736736737,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6746746746746747,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6756756756756757,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6766766766766766,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6776776776776777,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6786786786786787,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6796796796796797,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6806806806806807,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6816816816816816,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6826826826826827,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6836836836836837,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6846846846846847,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6856856856856857,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6866866866866866,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6876876876876877,19,21,0,63,0.23170731707317074,1.0,0.23170731707317072,0.3883495145631068
0.6886886886886887,18,21,0,64,0.21951219512195122,1.0,0.2195121951219512,0.3786407766990291
0.6896896896896897,18,21,0,64,0.21951219512195122,1.0,0.2195121951219512,0.3786407766990291
0.6906906906906907,18,21,0,64,0.21951219512195122,1.0,0.2195121951219512,0.3786407766990291
0.6916916916916916,18,21,0,64,0.21951219512195122,1.0,0.2195121951219512,0.3786407766990291
0.6926926926926927,17,21,0,65,0.2073170731707317,1.0,0.20731707317073167,0.36893203883495146
0.6936936936936937,17,21,0,65,0.2073170731707317,1.0,0.20731707317073167,0.36893203883495146
0.6946946946946947,17,21,0,65,0.2073170731707317,1.0,0.20731707317073167,0.36893203883495146
0.6956956956956957,17,21,0,65,0.2073170731707317,1.0,0.20731707317073167,0.36893203883495146
0.6966966966966966,17,21,0,65,0.2073170731707317,1.0,0.20731707317073167,0.36893203883495146
0.6976976976976977,17,21,0,65,0.2073170731707317,1.0,0.20731707317073167,0.36893203883495146
0.6986986986986987,17,21,0,65,0.2073170731707317,1.0,0.20731707317073167,0.36893203883495146
0.6996996996996997,16,21,0,66,0.1951219512195122,1.0,0.19512195121951215,0.3592233009708738
0.7007007007007007,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7017017017017017,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7027027027027027,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7037037037037037,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7047047047047047,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7057057057057057,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7067067067067067,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7077077077077077,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7087087087087087,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7097097097097097,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7107107107107107,15,21,0,67,0.18292682926829268,1.0,0.18292682926829262,0.34951456310679613
0.7117117117117117,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7127127127127127,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7137137137137137,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7147147147147147,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7157157157157157,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7167167167167167,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7177177177177178,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7187187187187187,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7197197197197197,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7207207207207207,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7217217217217217,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7227227227227228,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7237237237237237,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7247247247247247,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7257257257257257,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7267267267267267,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7277277277277278,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7287287287287287,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7297297297297297,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7307307307307307,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7317317317317317,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7327327327327328,14,21,0,68,0.17073170731707318,1.0,0.1707317073170731,0.33980582524271846
0.7337337337337337,13,21,0,69,0.15853658536585366,1.0,0.15853658536585358,0.3300970873786408
0.7347347347347347,12,21,0,70,0.14634146341463414,1.0,0.14634146341463405,0.32038834951456313
0.7357357357357357,12,21,0,70,0.14634146341463414,1.0,0.14634146341463405,0.32038834951456313
0.7367367367367368,11,21,0,71,0.13414634146341464,1.0,0.13414634146341475,0.3106796116504854
0.7377377377377378,11,21,0,71,0.13414634146341464,1.0,0.13414634146341475,0.3106796116504854
