sample_id,Mars_Type,cohort,IPS_score,IPS_group
GSM1692119,Mars1,Validation,0.047117211505321305,Low
GSM1692121,Mars2,Validation,0.024893562653290978,Low
GSM1692123,Mars1,Validation,0.05379792628833486,Low
GSM1692124,Mars1,Validation,0.29556313758319275,Low
GSM1692125,Mars3,Validation,0.01583353404387854,Low
GSM1692126,Mars2,Validation,0.07286424149333548,Low
GSM1692127,Mars3,Validation,0.037911464699711926,Low
GSM1692130,Mars3,Validation,0.04634322822741285,Low
GSM1692132,Mars2,Validation,0.006950978253504043,Low
GSM1692133,Mars1,Validation,0.011385982170627109,Low
GSM1692136,Mars1,Validation,0.46023528142711445,High
GSM1692137,Mars2,Validation,0.02779820582629861,Low
GSM1692138,Mars2,Validation,0.08096281928443597,Low
GSM1692139,Mars2,Validation,0.2866687548523949,Low
GSM1692140,Mars2,Validation,0.18221675881926414,Low
GSM1692141,Mars2,Validation,0.046906456173053,Low
GSM1692142,Mars1,Validation,0.0492511237832961,Low
GSM1692143,Mars4,Validation,0.053299770827837184,Low
GSM1692144,Mars4,Validation,0.01353541163228749,Low
GSM1692145,Mars4,Validation,0.026908420711773677,Low
GSM1692146,Mars2,Validation,0.07338590741805427,Low
GSM1692148,Mars2,Validation,0.014856287732051648,Low
GSM1692149,Mars2,Validation,0.039114719575897614,Low
GSM1692151,Mars1,Validation,0.01959885959754876,Low
GSM1692153,Mars2,Validation,0.014673305679898472,Low
GSM1692156,Mars2,Validation,0.006999430902297412,Low
GSM1692157,Mars3,Validation,0.03303384440502909,Low
GSM1692158,Mars4,Validation,0.038551995924417985,Low
GSM1692160,Mars1,Validation,0.7802263658408501,High
GSM1692162,Mars1,Validation,0.0605386694128875,Low
GSM1692163,Mars1,Validation,0.024857627191071995,Low
GSM1692165,Mars1,Validation,0.03487264340855789,Low
GSM1692166,Mars2,Validation,0.13572350053777865,Low
GSM1692167,Mars2,Validation,0.012542166309054437,Low
GSM1692168,Mars3,Validation,0.006052582742848073,Low
GSM1692169,Mars3,Validation,0.046506627011440906,Low
GSM1692170,Mars1,Validation,0.025914272675053144,Low
GSM1692172,Mars4,Validation,0.008625249316917216,Low
GSM1692174,Mars1,Validation,0.10381430516817547,Low
GSM1692175,Mars3,Validation,0.0958398759339197,Low
GSM1692181,Mars1,Validation,0.02080247738313246,Low
GSM1692182,Mars2,Validation,0.0068356909127882315,Low
GSM1692184,Mars2,Validation,0.029021866984472677,Low
GSM1692186,Mars2,Validation,0.048609010899073775,Low
GSM1692187,Mars2,Validation,0.008598688696855289,Low
GSM1692188,Mars1,Validation,0.1811782209730122,Low
GSM1692190,Mars1,Validation,0.020383298014309048,Low
GSM1692191,Mars2,Validation,0.019111897826609194,Low
GSM1692192,Mars2,Validation,0.029343171695874432,Low
GSM1692193,Mars3,Validation,0.01970859539000278,Low
GSM1692196,Mars2,Validation,0.003917730121321501,Low
GSM1692197,Mars3,Validation,0.037085834576118845,Low
GSM1692198,Mars2,Validation,0.04868890973090066,Low
GSM1692199,Mars2,Validation,0.027448444591675804,Low
GSM1692201,Mars1,Validation,0.06674487888973063,Low
GSM1692202,Mars3,Validation,0.022065843625918707,Low
GSM1692203,Mars2,Validation,0.019526292738366542,Low
GSM1692204,Mars2,Validation,0.052066962592098434,Low
GSM1692205,Mars1,Validation,0.02357227705697112,Low
GSM1692206,Mars3,Validation,0.011918323585633257,Low
GSM1692207,Mars1,Validation,0.12451386871154889,Low
GSM1692209,Mars3,Validation,0.012754620552563576,Low
GSM1692211,Mars3,Validation,0.01292939724272554,Low
GSM1692212,Mars2,Validation,0.032016033092355164,Low
GSM1692213,Mars1,Validation,0.1818016512715227,Low
GSM1692214,Mars1,Validation,0.0333954153061812,Low
GSM1692216,Mars3,Validation,0.0068928246365940315,Low
GSM1692217,Mars2,Validation,0.004770901022415631,Low
GSM1692221,Mars3,Validation,0.02517076282329429,Low
GSM1692222,Mars3,Validation,0.019689738126203046,Low
GSM1692223,Mars2,Validation,0.01631573806655228,Low
GSM1692224,Mars2,Validation,0.06267083232541427,Low
GSM1692225,Mars3,Validation,0.018278501873256373,Low
GSM1692226,Mars4,Validation,0.00967594300831502,Low
GSM1692227,Mars3,Validation,0.0063335708172632356,Low
GSM1692228,Mars4,Validation,0.03064905856560228,Low
GSM1692230,Mars1,Validation,0.021444611034857446,Low
GSM1692232,Mars2,Validation,0.017072824655062803,Low
GSM1692238,Mars1,Validation,0.14407357910811458,Low
GSM1692240,Mars2,Validation,0.03127847180102614,Low
GSM1692241,Mars2,Validation,0.02585105154881822,Low
GSM1692242,Mars3,Validation,0.026423028107421035,Low
GSM1692243,Mars2,Validation,0.0401053607270483,Low
GSM1692244,Mars1,Validation,0.03350764795968643,Low
GSM1692245,Mars3,Validation,0.04942991854282862,Low
GSM1692247,Mars3,Validation,0.11033149080239091,Low
GSM1692251,Mars1,Validation,0.2040745090137239,Low
GSM1692255,Mars1,Validation,0.0704562471250308,Low
GSM1692257,Mars2,Validation,0.06613417720611392,Low
GSM1692258,Mars1,Validation,0.1585219029054001,Low
GSM1692259,Mars2,Validation,0.03660799436161593,Low
GSM1692260,Mars2,Validation,0.009992416975083076,Low
GSM1692261,Mars2,Validation,0.34886384445632457,High
GSM1692264,Mars2,Validation,0.07759903374563218,Low
GSM1692266,Mars3,Validation,0.10993671318735278,Low
GSM1692268,Mars2,Validation,0.12701597945211238,Low
GSM1692269,Mars4,Validation,0.11286650856998208,Low
GSM1692271,Mars1,Validation,0.2731419940358741,Low
GSM1692272,Mars4,Validation,0.35180394127229403,High
GSM1692274,Mars1,Validation,0.16759345441876464,Low
GSM1692277,Mars1,Validation,0.04091160487162336,Low
GSM1692278,Mars2,Validation,0.21372202182366323,Low
GSM1692279,Mars3,Validation,0.2947794933502116,Low
GSM1692284,Mars2,Validation,0.1237875032499093,Low
GSM1692286,Mars3,Validation,0.08594721447568897,Low
GSM1692289,Mars2,Validation,0.2531216701900313,Low
GSM1692291,Mars3,Validation,0.15415792466050368,Low
GSM1692292,Mars3,Validation,0.16766971705788644,Low
GSM1692294,Mars1,Validation,0.20691420184472184,Low
GSM1692296,Mars2,Validation,0.059013105167827914,Low
GSM1692298,Mars3,Validation,0.0856665404091147,Low
GSM1692299,Mars1,Validation,0.41963408680855047,High
GSM1692300,Mars3,Validation,0.09153322136437432,Low
GSM1692301,Mars1,Validation,0.6472905202797142,High
GSM1692302,Mars2,Validation,0.07301648364514335,Low
GSM1692303,Mars2,Validation,0.09933552126984505,Low
GSM1692304,Mars2,Validation,0.11105351581730075,Low
GSM1692305,Mars1,Validation,0.2290156115253074,Low
GSM1692308,Mars2,Validation,0.09193620712642017,Low
GSM1692309,Mars2,Validation,0.06045820231797538,Low
GSM1692311,Mars3,Validation,0.1598998930596872,Low
GSM1692312,Mars1,Validation,0.5632216515450875,High
GSM1692315,Mars3,Validation,0.14715586079681975,Low
GSM1692316,Mars2,Validation,0.08862771509682703,Low
GSM1692317,Mars3,Validation,0.25519535508957614,Low
GSM1692318,Mars2,Validation,0.06263422973087114,Low
GSM1692319,Mars2,Validation,0.1767000125096249,Low
GSM1692322,Mars1,Validation,0.28512922637302013,Low
GSM1692326,Mars4,Validation,0.1569792422104053,Low
GSM1692327,Mars4,Validation,0.09092188829928725,Low
GSM1692329,Mars2,Validation,0.7325312063225162,High
GSM1692330,Mars1,Validation,0.20467932724320195,Low
GSM1692331,Mars4,Validation,0.08013911218160118,Low
GSM1692332,Mars2,Validation,0.13971224686710573,Low
GSM1692335,Mars1,Validation,0.1939443320980726,Low
GSM1692336,Mars1,Validation,0.35034003261915814,High
GSM1692337,Mars2,Validation,0.17524404757612,Low
GSM1692338,Mars3,Validation,0.13951931962124028,Low
GSM1692340,Mars3,Validation,0.09309088662542005,Low
GSM1692343,Mars2,Validation,0.10609390457824872,Low
GSM1692347,Mars1,Validation,0.19290772311394747,Low
GSM1692348,Mars1,Validation,0.4323375098088109,High
GSM1692350,Mars1,Validation,0.4406512542785968,High
GSM1692352,Mars3,Validation,0.038900437907673606,Low
GSM1692355,Mars3,Validation,0.08022269982145622,Low
GSM1692356,Mars2,Validation,0.07320699002325824,Low
GSM1692357,Mars2,Validation,0.0761258591914157,Low
GSM1692360,Mars4,Validation,0.27384893607820004,Low
GSM1692361,Mars2,Validation,0.053534182292254345,Low
GSM1692362,Mars2,Validation,0.08095493548495568,Low
GSM1692364,Mars2,Validation,0.06643230302470761,Low
GSM1692366,Mars3,Validation,0.028610340568644164,Low
GSM1692369,Mars1,Validation,0.1662239365183796,Low
GSM1692373,Mars1,Validation,0.10550624742862147,Low
GSM1692374,Mars2,Validation,0.12590681911570104,Low
GSM1692375,Mars4,Validation,0.09709728138532187,Low
GSM1692376,Mars3,Validation,0.2786488083330233,Low
GSM1692377,Mars3,Validation,0.05365075432990708,Low
GSM1692379,Mars2,Validation,0.11237036611361206,Low
GSM1692381,Mars2,Validation,0.07934010282379227,Low
GSM1692384,Mars1,Validation,0.422291859524405,High
GSM1692386,Mars2,Validation,0.042443461036641206,Low
GSM1692387,Mars1,Validation,0.07878069646322332,Low
GSM1692388,Mars2,Validation,0.14831369187660773,Low
GSM1692389,Mars3,Validation,0.09059789333095782,Low
GSM1692391,Mars2,Validation,0.04360876202541154,Low
GSM1692392,Mars3,Validation,0.12212337867408352,Low
GSM1692393,Mars3,Validation,0.028011083306509345,Low
GSM1692394,Mars1,Validation,0.13897662402614222,Low
GSM1692395,Mars1,Validation,0.36987488979870237,High
GSM1692397,Mars2,Validation,0.10843735299856384,Low
GSM1692399,Mars1,Validation,0.12726734640021117,Low
GSM1692400,Mars3,Validation,0.005931009190734866,Low
GSM1692404,Mars2,Validation,0.07710945427644934,Low
GSM1692406,Mars3,Validation,0.033287402805891424,Low
GSM1692407,Mars3,Validation,0.04412268703968413,Low
GSM1692408,Mars2,Validation,0.04815534226874522,Low
GSM1692410,Mars1,Validation,0.06446648901124197,Low
GSM1692412,Mars1,Validation,0.23719591077193783,Low
GSM1692413,Mars4,Validation,0.049531888867457935,Low
GSM1692414,Mars1,Validation,0.06244572785903801,Low
GSM1692415,Mars2,Validation,0.1290305240872516,Low
GSM1692416,Mars1,Validation,0.1273011343222879,Low
GSM1692417,Mars1,Validation,0.13223932423720186,Low
GSM1692418,Mars4,Validation,0.2542919298141741,Low
GSM1692420,Mars3,Validation,0.2747850161763884,Low
GSM1692421,Mars4,Validation,0.008498636359908102,Low
GSM1692422,Mars1,Validation,0.02503832124406054,Low
GSM1692423,Mars3,Validation,0.16919469091977715,Low
GSM1692424,Mars2,Validation,0.057873560852341244,Low
GSM1692425,Mars4,Validation,0.07435317657354458,Low
GSM1692427,Mars1,Validation,0.07116999810809506,Low
GSM1692428,Mars2,Validation,0.08859118877548712,Low
GSM1692429,Mars1,Validation,0.11511832894754881,Low
GSM1692430,Mars1,Validation,0.08908449488669608,Low
GSM1692436,Mars3,Validation,0.01113413175027363,Low
GSM1692437,Mars3,Validation,0.35103946033195,High
GSM1692438,Mars2,Validation,0.05242247691705198,Low
GSM1692439,Mars3,Validation,0.026463232101078996,Low
GSM1692440,Mars2,Validation,0.23503990590820473,Low
GSM1692441,Mars1,Validation,0.06215900804613755,Low
GSM1692443,Mars2,Validation,0.010557117695712407,Low
GSM1692445,Mars2,Validation,0.06238351859619204,Low
GSM1692446,Mars1,Validation,0.03948799153010526,Low
GSM1692448,Mars2,Validation,0.227651153200392,Low
GSM1692452,Mars1,Validation,0.0806195460670723,Low
GSM1692453,Mars1,Validation,0.48786052295699006,High
GSM1692454,Mars2,Validation,0.06460620949159467,Low
GSM1692455,Mars3,Validation,0.029334286902363137,Low
GSM1692458,Mars1,Validation,0.4935397141596345,High
GSM1692459,Mars1,Validation,0.5058431930139742,High
GSM1692461,Mars3,Validation,0.10553390640541588,Low
GSM1692465,Mars2,Validation,0.12549182364190004,Low
GSM1692466,Mars3,Validation,0.28006718373904504,Low
GSM1692467,Mars2,Validation,0.23197047996601117,Low
GSM1692478,Mars1,Validation,0.2631447140788024,Low
GSM1692482,Mars4,Validation,0.07661101115707583,Low
GSM1692484,Mars1,Validation,0.20242848835545488,Low
GSM1692488,Mars3,Validation,0.010671247780762227,Low
GSM1692489,Mars3,Validation,0.2681601184555641,Low
GSM1692491,Mars3,Validation,0.09226167592851559,Low
GSM1692492,Mars3,Validation,0.023177688055619303,Low
GSM1692493,Mars2,Validation,0.012306307268604044,Low
GSM1692494,Mars1,Validation,0.08665729569939302,Low
GSM1692498,Mars1,Validation,0.051478730338824406,Low
GSM1692499,Mars2,Validation,0.24014332941361344,Low
GSM1692501,Mars3,Validation,0.08623657610548888,Low
